Por favor seleccione el curso,Marca temporal,¿Cuál cree que es la principal razón por su bajo desempeño en el primer previo de este curso?,¿Alguna otra razón por la cual tuvo bajo desempeño en el primer previo de este curso?,Año,Mes
Electrónica III,2024-10-23 09:13:05,No me preparé lo suficiente para el examen,"Seria de gran ayuda si el docente enviara las diapositivas presentadas en clases, muchas veces por el tiempo y por prestar atención no se alcanza a copiar lo explicado o lo de las diapositivas.",2024,10
Electrónica III,2024-10-23 09:13:06,Tengo dificultades por temas laborales,No comprendi de lo mejor los temas propuestos ,2024,10
Electrónica III,2024-10-23 09:13:59,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,Falta de ganas por seguir estudiando por comentarios despectivos en clases  ,2024,10
Electrónica III,2024-10-23 09:14:15,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,El tema evaluado no tuve muy buena preparación ya que estudie diferentes ejercicios pero no los principales que salieron en el parcial. Y no da respuestas claras a las dudas presentadas para el primer parcial.,2024,10
Electrónica II,2024-10-30 10:48:39,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,La temática evaluada es muy amplia,2024,10
Electrónica II,2024-10-30 10:49:19,Tengo dificultades por temas laborales,.,2024,10
Electrónica II,2024-10-30 10:49:24,La temática evaluada es muy amplia,Espero mejore ,2024,10
Electrónica II,2024-10-30 10:49:35,No me preparé lo suficiente para el examen,Cometí errores en la interpretación ,2024,10
Electrónica II,2024-10-30 10:49:36,Tengo dificultades por temas familiares,Problemas de salud mental,2024,10
Electrónica II,2024-10-30 10:49:51,Tengo dificultades por temas laborales,Dificultad en lo temas,2024,10
Electrónica II,2024-10-30 10:49:52,No me preparé lo suficiente para el examen,No aplique de manera correcta las técnicas de estudio ,2024,10
Electrónica II,2024-10-30 10:49:54,No me preparé lo suficiente para el examen,Algunos temas no se explicaron con profundidad dónde quedaron dudas al respecto ,2024,10
Electrónica II,2024-10-30 10:50:12,Tengo dificultades por temas familiares,No,2024,10
Electrónica II,2024-10-30 10:50:14,Tengo dificultades por temas laborales,"Por una parte la preparación si fue un poco complicada, mas sin embargo la poca comprensión respecto al afán por resolver los ejercicios se vinieron en contra",2024,10
Electrónica II,2024-10-30 10:50:33,No me preparé lo suficiente para el examen,La temática es muy amplia ,2024,10
Electrónica II,2024-10-30 10:50:38,No me preparé lo suficiente para el examen,No me prepare lo suficiente.,2024,10
Electrónica II,2024-10-30 10:51:01,No me preparé lo suficiente para el examen,No,2024,10
Electrónica II,2024-10-30 10:51:03,No me preparé lo suficiente para el examen,No me preparé lo suficientemente ,2024,10
Electrónica II,2024-10-30 10:52:49,No me preparé lo suficiente para el examen,Los nervios me bloquearon en el previo ,2024,10
Electrónica II,2024-10-30 11:02:26,La temática evaluada es muy amplia,"Medios de transmisión y electrónica 2 siempre quedan en la misma semana de previos, no nos queda mucho tiempo para descansar y estudiar mejor entre uno y otro ",2024,10
Análisis de Circuitos en C.A.,2025-04-30 14:46:19,No me preparé lo suficiente para el examen,"No, ninguna",2025,4
Análisis de Circuitos en C.A.,2025-04-30 14:46:26,No me preparé lo suficiente para el examen,Nop,2025,4
Análisis de Circuitos en C.A.,2025-04-30 14:46:56,No me preparé lo suficiente para el examen,Le dediqué muy poco tiempo a estudiar ,2025,4
Análisis de Circuitos en C.A.,2025-04-30 14:46:59,Tengo dificultades por temas laborales,No comprendí bien el tema ,2025,4
Análisis de Circuitos en C.A.,2025-04-30 14:47:14,No me preparé lo suficiente para el examen,Olvidar componentes de lo esquemas y al no usarlos que el proceso quede mal,2025,4
Análisis de Circuitos en C.A.,2025-04-30 14:47:29,No me preparé lo suficiente para el examen,Problemas psicológicos,2025,4
Análisis de Circuitos en C.A.,2025-04-30 14:47:37,Tengo dificultades por temas familiares,Mi forma de estudio no es la adecuada para para aprender los temas,2025,4
Análisis de Circuitos en C.A.,2025-04-30 14:48:01,No me preparé lo suficiente para el examen,Cuestión de nervios y también porque la forma de calificación del profe es un poco más compleja ,2025,4
Análisis de Circuitos en C.A.,2025-04-30 14:48:55,No me preparé lo suficiente para el examen,"Diría que mi mayor falla de preparación va orientada a que por lo menos en uno de los ejercicios del previo pasado me fue mal por olvidar tomar en cuenta cosas básicas por encarnisarme con los temas vistos, entonces no puedo decir que es culpa del profesor, simplemente tuve falencias muy tontas que debo mejorar ",2025,4
Cálculo Integral,2025-05-11 12:19:09,No me preparé lo suficiente para el examen,"no tener buenas bases matematicas cosas tan simples como sumar fraccionarios nos joden u otras como algebra basica , entiendo que no es cuestion del profesor enseñarnos algo que ya deberiamos saber , pero de igual de manera nos seguira jodiendo entre mas adelantados vayamos",2025,5
Ecuaciones Diferenciales,2025-05-28 14:58:45,No me preparé lo suficiente para el examen,"No me preparé lo suficientemente para el examen, y no tuve conocimientos básicos de álgebra ",2025,5
Ecuaciones Diferenciales,2025-05-28 14:59:11,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,El examen es un poco largo para el tiempo asignado ,2025,5
Ecuaciones Diferenciales,2025-05-28 14:59:46,La temática evaluada es muy amplia,No,2025,5
Ecuaciones Diferenciales,2025-05-28 15:00:01,No me preparé lo suficiente para el examen,No estudie lo suficiente para sacar una buena nota ,2025,5
Ecuaciones Diferenciales,2025-05-28 15:00:01,El examen es muy largo para el tiempo asignado,No me alcanzó el tiempo para la resolución completa del examen ,2025,5
Ecuaciones Diferenciales,2025-05-28 15:00:10,El examen es muy largo para el tiempo asignado,"No me preparé lo suficiente, no me dió el tiempo de terminar ",2025,5
Ecuaciones Diferenciales,2025-05-28 15:00:17,No me preparé lo suficiente para el examen,No me pude preparar lo suficiente por temas de salud días antes del parcial ,2025,5
Ecuaciones Diferenciales,2025-05-28 15:00:42,La temática evaluada es muy amplia,"No estudie lo suficientemente, la nota que se me coloco está bastante acorde a mi preparación para el examen ya que preferí dedicar más tiempo para física electromagnética porque se me complica demasiado la física ",2025,5
Ecuaciones Diferenciales,2025-05-28 15:01:06,El examen es muy largo para el tiempo asignado,"La complejidad del examen también tiene un poco que ver, comparado con el primer examen el segundo es mucho más exigente ",2025,5
Ecuaciones Diferenciales,2025-05-28 15:01:19,No me preparé lo suficiente para el examen,"Se me es difícil estudiar para tres exámenes importantes, y no me puedo concentrar en todos a la vez por tanto siempre hay una en la que va peor que las demás ",2025,5
Geometria Descriptiva,2025-05-28 15:01:45,Los temas evaluados y la dificultad del examen no son acordes con lo explicado en clase,Mejor explicación del tema por parte del profesor,2025,5
Ecuaciones Diferenciales,2025-05-28 15:03:34,El examen es muy largo para el tiempo asignado,Es un problema que viene por culpa de la pandemia el nivel académico bajo y el profesor está acostumbrado a que nosotros vengamos con unos saberes previos los cuales hoy en día ya no tenemos y cuando llegamos a esta materia la mayoría nos estrellamos ,2025,5
Geometria Descriptiva,2025-05-29 08:30:25,El examen es muy largo para el tiempo asignado,"el tema es largo y siempre se va mucho tiempo, aveces solo alcanza el tiempo para una explicación rápida, en el parcial se va tiempo tambien",2025,5
Geometria Descriptiva,2025-05-29 08:30:58,No comprendo los temas explicados,"Baja motivación en lo que hago y solo me siento desanimada al no conseguir lo ""básico"" que es pasar la materia ",2025,5
Ecuaciones Diferenciales,2025-05-29 12:33:55,No me preparé lo suficiente para el examen,"Cuando hay varias materias importantes para la misma semana, hay prioridades",2025,5
Medios de Transmisión (Marco García),2025-05-29 16:20:06,No me preparé lo suficiente para el examen,Ninguna ,2025,5
Medios de Transmisión (Marco García),2025-05-29 16:20:07,No me preparé lo suficiente para el examen,N.A,2025,5
Medios de Transmisión (Marco García),2025-05-29 16:20:21,No me preparé lo suficiente para el examen,Ninguna razón. El docente es excelente al dar los temas de la materia y se preocupa por que entienda.,2025,5
Medios de Transmisión (Marco García),2025-05-29 16:20:48,No me preparé lo suficiente para el examen,Ninguna,2025,5
Medios de Transmisión (Marco García),2025-05-29 16:21:19,No me preparé lo suficiente para el examen,"Los temas son extensos y complejos,  tal vez es necesario mayor apropiación de los temas antes de pasar al siguiente",2025,5
Medios de Transmisión (Marco García),2025-05-29 16:21:20,La temática evaluada es muy amplia,Cometí varios errores menores que me costaron el sacar una buena nota en el segundo previo ya que me hacían quedar mal todo el punto.,2025,5
Medios de Transmisión (Marco García),2025-05-29 16:21:45,La temática evaluada es muy amplia,Temas complejos ,2025,5
Medios de Transmisión (Marco García),2025-05-29 16:24:28,La temática evaluada es muy amplia,Soy bruto,2025,5
Ecuaciones Diferenciales,2025-10-15 14:47:16,Las explicaciones del docente no son claras,Situaciones personales,2025,10
Ecuaciones Diferenciales,2025-10-15 14:48:02,No me preparé lo suficiente para el examen,Pues solo fue por qué no me preparé lo suficiente ,2025,10
Ecuaciones Diferenciales,2025-10-15 14:48:13,No me preparé lo suficiente para el examen,"Por algunos temas familiares no pude prepararme como es debido para el previo, también llevo falencias de algunos temas pasados.",2025,10
Ecuaciones Diferenciales,2025-10-15 14:48:46,No me preparé lo suficiente para el examen,Mas que todo por mi poco tiempo que tengo para poder estudiar adecuadamente los temas ,2025,10
Ecuaciones Diferenciales,2025-10-15 14:49:07,No me preparé lo suficiente para el examen,Tuve un bajo desempeño debido a que no estudie lo suficiente para el parcial ,2025,10
Ecuaciones Diferenciales,2025-10-15 14:49:16,No me preparé lo suficiente para el examen,Mala organización para el estudio de los Exámenes ,2025,10
Ecuaciones Diferenciales,2025-10-15 14:49:39,No me preparé lo suficiente para el examen,Además de no preparar con tiempo también se me dificulta entender los temas del primer parcial ,2025,10
Ecuaciones Diferenciales,2025-10-15 14:49:42,No me preparé lo suficiente para el examen,La temática es amplia ,2025,10
Ecuaciones Diferenciales,2025-10-15 14:51:24,El examen es muy largo para el tiempo asignado,"No supe que responder en el previo pues la verdad, explican algo fácil en el previo algo difícil entonces por eso me fue mal y no supe responder ",2025,10
Ecuaciones Diferenciales,2025-10-15 14:51:30,No me preparé lo suficiente para el examen,Sentía que me había preparado lo suficiente pero al resolver el previo me perdí y me desconcentre totalmente ,2025,10
Ecuaciones Diferenciales,2025-10-15 14:52:18,No comprendo los temas explicados,"Problemas personales , y falta de preparación ",2025,10
Ecuaciones Diferenciales,2025-10-15 14:53:09,No me preparé lo suficiente para el examen,No es solo la dificultad de los temas al momento de explicarlo. Aunque los ejercicios le queden mal así sea la mitad el profe no valora el esfuerzo y califica con 0 debería de cambiar esa forma de evaluar...,2025,10
